,vv_list,vh_list,vv_by_vh
68,"[0.01444709300994873, 0.0342191606760025, 0.004139550030231476, 0.02147182635962963, 0.021165696904063225, 0.01776316948235035, 0.025035331025719643, 0.028012041002511978, 0.020484263077378273, 0.03592264652252197, 0.02792932465672493, 0.02316480502486229, 0.06102367863059044, 0.02833935245871544, 0.01577926054596901, 0.039543237537145615, 0.03931567445397377, 0.031082261353731155]","[0.18555906414985657, 0.1149807795882225, 0.047157298773527145, 0.06297800689935684, 0.14543217420578003, 0.36496734619140625, 0.07663577049970627, 0.04584573209285736, 0.04757468029856682, 0.11547398567199707, 0.034577105194330215, 0.051229093223810196, 0.09857730567455292, 0.03745679929852486, 0.04289936274290085, 0.055319350212812424, 0.26127785444259644, 0.08596975356340408]","[12.844041636755204, 3.3601285746572147, 11.39189004339445, 2.933053101517497, 6.8711261842675775, 20.546296456499004, 3.061104741174612, 1.636643759330002, 2.322498989534349, 3.2145177722248217, 1.2380215282435985, 2.2115054786270423, 1.6153943499751144, 1.3217238944711827, 2.7187181945518972, 1.3989585491285899, 6.6456409071265, 2.7658783440827146]"
69,"[0.04703599214553833, 0.04896719753742218, 0.06769494712352753, 0.0473751537501812, 0.04275631532073021, 0.03797338530421257, 0.016950735822319984, 0.05143963545560837, 0.02014794759452343, 0.017670514062047005, 0.03891289234161377, 0.023960694670677185, 0.08085735142230988, 0.06538649648427963, 0.07379190623760223, 0.05084382742643356, 0.01907986029982567, 0.025414276868104935]","[0.30979999899864197, 0.19959451258182526, 0.25913751125335693, 0.45822060108184814, 0.19381700456142426, 0.10524661839008331, 0.26659053564071655, 0.27515673637390137, 0.17753201723098755, 0.2104320377111435, 0.05007144436240196, 0.2192971408367157, 0.14834165573120117, 0.23404501378536224, 0.11055846512317657, 0.10339386761188507, 0.10062361508607864, 0.17241783440113068]","[6.5864455041165435, 4.076086086594791, 3.828018519321557, 9.672171271425068, 4.533061446187178, 2.7715890365562905, 15.727372453630116, 5.349119097303042, 8.811419445980885, 11.908653985517748, 1.2867571992034923, 9.152369906248543, 1.8346093845744156, 3.5794089968045903, 1.498246498297386, 2.0335579134259056, 5.273812989448253, 6.784290392992297]"
70,"[0.013361860066652298, 0.018124481663107872, 0.008705967105925083, 0.00888338964432478, 0.04223731905221939, 0.02249622717499733, 0.025919781997799873, 0.0299431923776865, 0.006654789205640554, 0.011677545495331287, 0.00894432608038187, 0.019614579156041145, 0.023705316707491875, 0.026352588087320328, 0.07530749589204788, 0.045957811176776886, 0.007017113734036684, 0.012976527214050293]","[0.08611942082643509, 0.16708053648471832, 0.4226888418197632, 0.3656712770462036, 0.09972788393497467, 0.0934840589761734, 0.046345118433237076, 0.10581351071596146, 0.031463224440813065, 0.0342562198638916, 0.03615667670965195, 0.08962998539209366, 0.0670802891254425, 0.15802443027496338, 0.0616699755191803, 0.5163171887397766, 0.023771628737449646, 0.04291975870728493]","[6.445167094764493, 9.218500125430257, 48.55162403865399, 41.16348507574645, 2.361131960380293, 4.155543871821898, 1.7880211506860262, 3.533808599340032, 4.727906995783585, 2.9335120019517222, 4.042414865548849, 4.569559442446069, 2.8297571364757306, 5.996543100485739, 0.8189088587885494, 11.234590497657965, 3.3876647348816324, 3.307491904368196]"
71,"[0.0032843290828168392, 0.005077854730188847, 0.005832156166434288, 0.010698065161705017, 0.02808060310781002, 0.03698654845356941, 0.014916801825165749, 0.02445344440639019, 0.015066479332745075, 0.03862187638878822, 0.01527693122625351, 0.035967376083135605, 0.06196356564760208, 0.06389866769313812, 0.05469409376382828, 0.030764799565076828, 0.004250368103384972, 0.00887364149093628]","[0.05086738243699074, 0.027282945811748505, 0.2938881814479828, 0.21758274734020233, 0.06604959815740585, 0.18642239272594452, 0.24033737182617188, 0.3851594626903534, 0.03204996511340141, 0.08725952357053757, 0.04521095007658005, 0.08742232620716095, 0.06543005257844925, 0.08137727528810501, 0.11684924364089966, 0.7546287178993225, 0.015577851794660091, 0.008628391660749912]","[15.48790670920339, 5.372927596677002, 50.39100001117813, 20.338513932319778, 2.3521431467771987, 5.040275465551144, 16.11185659252407, 15.750724367881004, 2.1272365232496546, 2.2593289536773686, 2.9594261705442992, 2.430600608870981, 1.0559439550422534, 1.2735363384868172, 2.1364142926558087, 24.52896584952732, 3.665059452675162, 0.9723619857262804]"
72,"[0.0036963969469070435, 0.0029080358799546957, 0.008777793496847153, 0.006983540020883083, 0.01481544692069292, 0.030909614637494087, 0.010720471851527691, 0.02914249710738659, 0.010451476089656353, 0.02153812348842621, 0.02731570415198803, 0.028201313689351082, 0.02422851324081421, 0.016607271507382393, 0.06658586859703064, 0.1385023593902588, 0.11836802959442139, 0.0831211507320404]","[0.0373271107673645, 0.053425610065460205, 0.2585875689983368, 0.574184775352478, 0.15589521825313568, 0.20379917323589325, 0.03952415660023689, 0.07056044787168503, 0.013422318734228611, 0.05529918521642685, 0.07907122373580933, 0.0606994554400444, 0.09993699938058853, 0.07938137650489807, 0.07577801495790482, 0.17552031576633453, 0.11847559362649918, 0.5288452506065369]","[10.098241964678042, 18.37171626173076, 29.45929054849803, 82.2197300560284, 10.522478267961993, 6.593390944081201, 3.6867926288715185, 2.421221750891088, 1.2842510109660443, 2.5675024681766074, 2.8947166544141436, 2.152362691634636, 4.124768135266319, 4.779916825567093, 1.1380495074188173, 1.2672731102852195, 1.000908725374971, 6.362342748494756]"
73,"[0.0010552234016358852, 0.013352175243198872, 0.013806864619255066, 0.026601511985063553, 0.03057694248855114, 0.0232612993568182, 0.018953051418066025, 0.025986019521951675, 0.02956918627023697, 0.050161927938461304, 0.03564814478158951, 0.019440043717622757, 0.06264469027519226, 0.031219447031617165, 0.010954520665109158]","[0.0629337877035141, 0.20493148267269135, 0.29963526129722595, 0.038282524794340134, 0.09681840240955353, 0.07324369996786118, 0.08084499835968018, 0.08512755483388901, 0.0965847373008728, 0.06731250137090683, 0.10933063924312592, 0.16684815287590027, 0.15336433053016663, 0.10935913026332855, 0.0415467843413353]","[59.64025021237161, 15.34817203489568, 21.70190478143418, 1.4391108601584504, 3.1663859931647855, 3.148736398785585, 4.265539969074259, 3.2758982098807996, 3.2663982166492933, 1.3419041918302237, 3.0669377021715234, 8.582704612163466, 2.448161685474882, 3.5029169527755006, 3.792661095036722]"
74,"[0.002691101050004363, 0.06467348337173462, 0.07422205805778503, 0.01966698095202446, 0.03960057348012924, 0.010412909090518951, 0.018602199852466583, 0.04310561344027519, 0.04615718498826027, 0.03259783983230591, 0.13666899502277374, 0.08618361502885818, 0.04159320518374443, 0.09707789868116379, 0.029642535373568535]","[0.270988792181015, 0.4092789590358734, 0.3385606110095978, 0.31291845440864563, 0.2727266550064087, 0.03818369656801224, 0.10067509114742279, 0.0414910726249218, 0.1158987507224083, 0.03192666918039322, 0.1675187051296234, 0.4485529661178589, 0.18889622390270233, 0.10250265896320343, 0.07147949934005737]","[100.69811097601692, 6.328388973319902, 4.561455446924065, 15.910853586118654, 6.8869370071940335, 3.6669576422960266, 5.411999222988331, 0.9625445345397899, 2.5109579527409713, 0.979410578879907, 1.2257257405142188, 5.204619996128765, 4.541516410390207, 1.0558804872760623, 2.4113827794836253]"
75,"[0.007171016652137041, 0.020635461434721947, 0.008738765493035316, 0.015929287299513817, 0.0354631170630455, 0.03959576413035393, 0.016870109364390373, 0.03389371559023857, 0.027489831671118736, 0.03939235955476761, 0.08196466416120529, 0.03330200910568237, 0.008578330278396606, 0.003502465784549713, 0.006734122987836599]","[0.1119270920753479, 0.21398486196994781, 0.10612420737743378, 0.0830092653632164, 0.09500940144062042, 0.043666258454322815, 0.05631154775619507, 0.033135782927274704, 0.11243562400341034, 0.08035141229629517, 0.22139915823936462, 0.10269459336996078, 0.07255254685878754, 0.00954725407063961, 0.052007850259542465]","[15.60825995878735, 10.369763847872548, 12.144073148777524, 5.211109813164708, 2.6791046391019413, 1.1028012569871954, 3.3379479966536643, 0.9776379588438467, 4.0900804831605075, 2.0397714989522715, 2.701153728927924, 3.083735670243326, 8.457653704649442, 2.7258664774842423, 7.7230324354753845]"
76,"[0.025128768756985664, 0.019965697079896927, 0.014245448634028435, 0.010682733729481697, 0.03139004483819008, 0.03693244233727455, 0.028349747881293297, 0.0518321730196476, 0.04167722910642624, 0.02948087267577648, 0.009638373740017414, 0.04708286002278328, 0.009108622558414936, 0.009252750314772129, 0.07929264008998871]","[0.13129772245883942, 0.07954761385917664, 0.13965807855129242, 0.02136004902422428, 0.07300093024969101, 0.04004890099167824, 0.09872326254844666, 0.06548061966896057, 0.23165832459926605, 0.15709549188613892, 0.057474005967378616, 0.16074708104133606, 0.10950415581464767, 0.1013820692896843, 0.5460079312324524]","[5.224996247471908, 3.9842142020311218, 9.803698159262455, 1.9994927857535043, 2.325607708622189, 1.0843826851726608, 3.4823329985798437, 1.2633199778087514, 5.558390746364338, 5.328725971372598, 5.963039773893928, 3.414131617398581, 12.022032432717616, 10.95696585779761, 6.885985012137211]"
77,"[0.007934373803436756, 0.025420254096388817, 0.06424359232187271, 0.028950903564691544, 0.05640193447470665, 0.023156460374593735, 0.04566248878836632, 0.029782285913825035, 0.03128177672624588, 0.03129962086677551, 0.07094193249940872, 0.059086792171001434, 0.005619386676698923, 0.019709637388586998, 0.003392654936760664]","[0.29541245102882385, 0.06816335022449493, 0.11649992316961288, 0.0443660244345665, 0.051008883863687515, 0.02990725450217724, 0.12326829135417938, 0.03468450531363487, 0.1491204798221588, 0.055695321410894394, 0.17528970539569855, 0.22219955921173096, 0.03361516818404198, 0.10286737233400345, 0.1203911304473877]","[37.231980537754175, 2.6814582563192464, 1.8134092282063858, 1.5324573319595869, 0.904381814892579, 1.2915296214697036, 2.699552622405135, 1.1646018513822074, 4.767007997248586, 1.7794247939282508, 2.470889912636078, 3.7605622347659255, 5.981999481087324, 5.2191407840699044, 35.4858164745567]"
78,"[0.01356168556958437, 0.023919042199850082, 0.0493202768266201, 0.01675170660018921, 0.027743414044380188, 0.03111358918249607, 0.03425230458378792, 0.07811770588159561, 0.049731235951185226, 0.03816995024681091, 0.13563871383666992, 0.07359825074672699, 0.017208892852067947, 0.019275672733783722, 0.007520281244069338]","[0.5077502727508545, 0.08566157519817352, 0.1244754046201706, 0.1411413848400116, 0.08510984480381012, 0.06961709260940552, 0.11545367538928986, 0.11353081464767456, 0.2492237687110901, 0.06245197355747223, 0.29858261346817017, 0.24797312915325165, 0.22518350183963776, 0.03644387796521187, 0.15611876547336578]","[37.44005641080615, 3.581312933956462, 2.5238180446097234, 8.425492889089725, 3.067749508682054, 2.2375140393179325, 3.370683426771104, 1.453330117243269, 5.011413127872411, 1.6361554875930202, 2.2013082034065143, 3.369280202142295, 13.085298617137827, 1.8906669805271232, 20.75969773025238]"
79,"[0.030467841774225235, 0.025540435686707497, 0.028589315712451935, 0.025865230709314346, 0.028915220871567726, 0.029170062392950058, 0.03871350362896919, 0.054882362484931946, 0.07907755672931671, 0.06785117834806442, 0.04843911528587341, 0.018122969195246696, 0.007786261849105358, 0.005129846278578043, 0.04444798082113266]","[0.24297510087490082, 0.03933243080973625, 0.10254332423210144, 0.04815175011754036, 0.0444386824965477, 0.10366282612085342, 0.11874991655349731, 0.06694333255290985, 0.23158793151378632, 0.039534952491521835, 0.16631847620010376, 0.17289617657661438, 0.11594934016466141, 0.03639211878180504, 0.22899535298347473]","[7.974805129795887, 1.5400062587893435, 3.5867708504628255, 1.8616400780914124, 1.5368612501329415, 3.553740294566771, 3.0674029840233095, 1.2197604024660795, 2.928617689928309, 0.5826715681887585, 3.433557265002489, 9.540168319767474, 14.891528491041434, 7.094192848190507, 5.151985506495709]"
80,"[0.03556496277451515, 0.005425268318504095, 0.011572305113077164, 0.014825229533016682, 0.027825839817523956, 0.014230942353606224, 0.01881696656346321, 0.04077216982841492, 0.13195602595806122, 0.07357889413833618, 0.0048231869004666805, 0.007199269253760576, 0.010094932280480862, 0.0040919422172009945, 0.006075288634747267]","[0.29818955063819885, 0.0512099489569664, 0.09832890331745148, 0.08358809351921082, 0.09200213849544525, 0.033193256705999374, 0.060011208057403564, 0.06119633466005325, 0.12047971040010452, 0.39299243688583374, 0.017214857041835785, 0.0383591428399086, 0.08293621987104416, 0.03446450084447861, 0.48740872740745544]","[8.384362793481484, 9.439155070414374, 8.496915900215585, 5.638232671747516, 3.3063562177736974, 2.33247074446816, 3.1892073493889797, 1.500933968380666, 0.9130292423204368, 5.34110279160986, 3.569187219381881, 5.32819950023004, 8.215629146062343, 8.422528719883369, 80.22807749737997]"
81,"[0.04422315955162048, 0.023265188559889793, 0.02483585849404335, 0.026317356154322624, 0.01304691843688488, 0.014965137466788292, 0.05663061514496803, 0.027141688391566277, 0.019040482118725777, 0.04251746088266373, 0.07187478989362717, 0.040891941636800766, 0.021142765879631042, 0.005608638282865286, 0.012866389937698841]","[0.31492969393730164, 0.12474600225687027, 0.18571482598781586, 0.05497809872031212, 0.15014949440956116, 0.07552357763051987, 0.12692774832248688, 0.11677802354097366, 0.0969400703907013, 0.053548041731119156, 0.45420944690704346, 0.16677109897136688, 0.10712635517120361, 0.04204869270324707, 0.165347620844841]","[7.121374798417396, 5.361916665138827, 7.477689004886134, 2.0890433825466914, 11.508425927234606, 5.046634406007109, 2.2413273809151826, 4.30253349962046, 5.091261333942982, 1.2594364907842626, 6.319454256203903, 4.078336520496277, 5.066808939809016, 7.497130423209544, 12.85112775576375]"
82,"[0.009274640120565891, 0.04044315963983536, 0.0367048978805542, 0.018078915774822235, 0.0203706081956625, 0.02491033636033535, 0.031973354518413544, 0.025979436933994293, 0.014965259470045567, 0.018660716712474823, 0.06490891426801682, 0.11450856178998947, 0.06800185889005661, 0.004634778015315533, 0.004485117271542549]","[0.32741549611091614, 0.09557054936885834, 0.17351071536540985, 0.12719357013702393, 0.20515762269496918, 0.12443657219409943, 0.1054084300994873, 0.044528424739837646, 0.09956075996160507, 0.040561191737651825, 0.25690799951553345, 0.17088788747787476, 0.08413105458021164, 0.024761563166975975, 0.060188572853803635]","[35.30223187688914, 2.363083157200311, 4.727181531196513, 7.035464500263959, 10.071256622502478, 4.9953790424219, 3.296758556840894, 1.7139872912939025, 6.652792098986702, 2.1736138200166972, 3.957977150175845, 1.4923590411631042, 1.2371875703608666, 5.342556447180831, 13.419620761243376]"
83,"[0.010606828145682812, 0.018305929377675056, 0.0639858990907669, 0.05087539553642273, 0.020845605060458183, 0.03232709690928459, 0.03775428608059883, 0.03176200017333031, 0.03491166606545448, 0.035333264619112015, 0.06119281426072121, 0.09702181071043015, 0.027383551001548767, 0.0062754773534834385, 0.0137596745043993]","[0.30666032433509827, 0.15218521654605865, 0.1604863554239273, 0.09647173434495926, 0.18549735844135284, 0.06310924887657166, 0.06944764405488968, 0.05289583280682564, 0.06900062412023544, 0.060778629034757614, 0.13233917951583862, 0.23413869738578796, 0.22342704236507416, 0.06077146902680397, 0.11756446957588196]","[28.911595448061924, 8.313438416934773, 2.5081519163506654, 1.8962355639258506, 8.898631529445067, 1.9522089797814846, 1.8394638401221797, 1.6653810376602427, 1.9764345818062345, 1.720153223596611, 2.1626588205600026, 2.4132583763520437, 8.159169800601738, 9.683959578480591, 8.544131588163205]"
84,"[0.03591877967119217, 0.00839957781136036, 0.021229784935712814, 0.015376625582575798, 0.022255735471844673, 0.02213423140347004, 0.03957436978816986, 0.023819293826818466, 0.035071734338998795, 0.03856190666556358, 0.06785321980714798, 0.0945531502366066, 0.01342393085360527, 0.011552278883755207, 0.03133290261030197]","[0.13787658512592316, 0.030744388699531555, 0.033927612006664276, 0.045279115438461304, 0.06471042335033417, 0.049118250608444214, 0.14365243911743164, 0.082447350025177, 0.1454525738954544, 0.10065285116434097, 0.15798284113407135, 0.29848602414131165, 0.10546620190143585, 0.0627746656537056, 0.12849123775959015]","[3.8385654075131037, 3.660230238947251, 1.5981137872758728, 2.944671780899046, 2.907584134085263, 2.219108028334059, 3.6299362412177767, 3.4613683606500714, 4.1472877414481095, 2.6101627193197277, 2.3283027921606263, 3.156806763120957, 7.856581134959493, 5.433963833921912, 4.1008405559382615]"
85,"[0.02549208328127861, 0.02111009694635868, 0.01331857405602932, 0.009059746749699116, 0.018201865255832672, 0.04689332842826843, 0.045216627418994904, 0.02415291965007782, 0.04283769428730011, 0.015892857685685158, 0.13374826312065125, 0.07327383756637573, 0.0036808960139751434, 0.0020655887201428413, 0.005429323296993971, 0.004582076333463192, 0.011704576201736927, 0.006942967884242535]","[0.14790771901607513, 0.11362754553556442, 0.2477596551179886, 0.022178417071700096, 0.06173432245850563, 0.18040813505649567, 0.050376806408166885, 0.11573326587677002, 0.06488224864006042, 0.03933244198560715, 0.21970650553703308, 0.3629600703716278, 0.038290370255708694, 0.0093718022108078, 0.015058249235153198, 0.017830712720751762, 0.21694844961166382, 0.02697245217859745]","[5.802104025162141, 5.382615997657189, 18.60256616629524, 2.4480173325415158, 3.391648141045504, 3.8472026000982535, 1.1141212709509656, 4.791688439885864, 1.5146064632917406, 2.4748501977107766, 1.6426867939125376, 4.953474288047727, 10.402459105156145, 4.537109502689245, 2.773503880951505, 3.891404556168771, 18.53535282887639, 3.8848591306050806]"
86,"[0.009438383392989635, 0.033120494335889816, 0.017951151356101036, 0.021340522915124893, 0.033962104469537735, 0.010751002468168736, 0.02262147329747677, 0.03591954708099365, 0.03061153180897236, 0.03298497572541237, 0.040191445499658585, 0.030778400599956512, 0.0542692169547081, 0.0797523781657219, 0.013068361207842827, 0.012402226217091084, 0.004457738716155291, 0.0034725705627352]","[0.36152493953704834, 0.15042904019355774, 0.14591477811336517, 0.04372113570570946, 0.04311623051762581, 0.029610173776745796, 0.030591491609811783, 0.1783456951379776, 0.06290290504693985, 0.0600704625248909, 0.15662533044815063, 0.05046004801988602, 0.2177964299917221, 0.40507030487060547, 0.08301696926355362, 0.09191609174013138, 0.22856174409389496, 0.07531917840242386]","[38.30369296139964, 4.541871829206087, 8.128435620580587, 2.04873778771009, 1.269539423162038, 2.754177934979995, 1.3523209212559997, 4.9651432056153855, 2.0548760983108583, 1.8211461795502024, 3.896981770647715, 1.639462968714408, 4.013259122081865, 5.079100011649651, 6.352515663075791, 7.411257473554623, 51.273023980872715, 21.689747419588233]"
87,"[0.03499836102128029, 0.015673860907554626, 0.019924508407711983, 0.012105603702366352, 0.036695655435323715, 0.018111083656549454, 0.03409754857420921, 0.0301450714468956, 0.021278269588947296, 0.022992175072431564, 0.02686048485338688, 0.029433894902467728, 0.023992648348212242, 0.0496378056704998, 0.011887699365615845, 0.008855369873344898, 0.030637625604867935, 0.0056831613183021545]","[0.21955785155296326, 0.12325211614370346, 0.07167086005210876, 0.052424754947423935, 0.03162708505988121, 0.04706070199608803, 0.05186073109507561, 0.09234068542718887, 0.06836988031864166, 0.028913674876093864, 0.09274737536907196, 0.07419439405202866, 0.17195609211921692, 0.46615085005760193, 0.23495835065841675, 0.308150976896286, 0.7189041376113892, 0.019415730610489845]","[6.273375242328177, 7.8635453555860835, 3.597120620771142, 4.330618797406705, 0.8618754641301914, 2.5984476074721026, 1.5209518943042772, 3.063210037165074, 3.2131315957269124, 1.2575441333848572, 3.4529300522800246, 2.5207127462362524, 7.16703256862554, 9.391044663657233, 19.764829462125675, 34.79820507823572, 23.464747134228453, 3.4163609869674256]"
88,"[0.008894811384379864, 0.011387952603399754, 0.00950830802321434, 0.020269595086574554, 0.03217446804046631, 0.01520446501672268, 0.022379856556653976, 0.0074738129042088985, 0.050264861434698105, 0.04208733141422272, 0.032400839030742645, 0.03583903610706329, 0.01736881025135517, 0.01631515473127365, 0.05886704847216606, 0.12271540611982346, 0.0030029863119125366, 0.01067193504422903]","[0.11638538539409637, 0.31169119477272034, 0.2925961911678314, 0.053863927721977234, 0.04425043985247612, 0.028196251019835472, 0.04691604897379875, 0.014451132155954838, 0.23716530203819275, 0.07394114136695862, 0.06053221598267555, 0.03751454874873161, 0.03933534398674965, 0.014697111211717129, 0.3211342692375183, 0.29957377910614014, 0.011523536406457424, 0.012585693039000034]","[13.084637814634293, 27.370257466620313, 30.772687470101282, 2.657375615640871, 1.3753277846527776, 1.8544717613427197, 2.09635163903004, 1.9335688946423375, 4.718312062718157, 1.7568503129654696, 1.8682298913692088, 1.0467510520278223, 2.264711480953658, 0.9008257325040883, 5.4552466544905736, 2.441207575955265, 3.8373589519022264, 1.1793262409150336]"
89,"[0.004780151415616274, 0.020486727356910706, 0.02494663931429386, 0.030816219747066498, 0.02861994132399559, 0.02250046096742153, 0.0178547166287899, 0.0370311513543129, 0.043456003069877625, 0.030784206464886665, 0.016070183366537094, 0.01202971301972866, 0.068105049431324, 0.07343387603759766, 0.0043942853808403015, 0.004590356256812811, 0.0032173199579119682, 0.002918812446296215]","[0.6410171985626221, 0.27262479066848755, 0.15559907257556915, 0.06559144705533981, 0.0857711061835289, 0.03995729237794876, 0.09389112889766693, 0.08107320219278336, 0.0865723192691803, 0.07587867230176926, 0.11657644063234329, 0.16313526034355164, 0.12138106673955917, 0.9933114051818848, 0.013087696395814419, 0.029911547899246216, 0.04709652438759804, 0.012398403137922287]","[134.09976856977445, 13.307386090464279, 6.237275915815017, 2.1284715514654806, 2.9969001407985596, 1.7758432787578449, 5.258617700281608, 2.1893243722583047, 1.992183200327266, 2.46485717890174, 7.254207246638526, 13.561026773956348, 1.7822623689886286, 13.526610044025402, 2.9783446593793395, 6.516171343967644, 14.63843354210986, 4.247756019286221]"
90,"[0.01141279749572277, 0.03347920998930931, 0.018814507871866226, 0.020286811515688896, 0.027222979813814163, 0.031487807631492615, 0.02155626192688942, 0.039675526320934296, 0.0311749204993248, 0.030278848484158516, 0.05017922446131706, 0.04833652824163437, 0.06275803595781326, 0.12250051647424698, 0.002331343712285161, 0.006673677358776331, 0.00848414096981287, 0.0036795432679355145]","[0.14773747324943542, 0.2767755389213562, 0.2097892165184021, 0.06614674627780914, 0.18986818194389343, 0.051546890288591385, 0.07935236394405365, 0.08342725038528442, 0.05829434096813202, 0.047406964004039764, 0.15424469113349915, 0.050499189645051956, 0.14737404882907867, 0.5240241289138794, 0.011984867043793201, 0.003103205468505621, 0.018597185611724854, 0.02102537639439106]","[12.94489570193493, 8.267086917813684, 11.150396170186562, 3.2605787374055435, 6.974555439649034, 1.6370428481986985, 3.6811746031471717, 2.10273834077067, 1.8699114555687346, 1.5656792241898647, 3.073875548881902, 1.0447417611915866, 2.3482896903935195, 4.277729955726708, 5.140755084991628, 0.4649918330895483, 2.191993942332507, 5.714126690019273]"
91,"[0.013296241872012615, 0.050605203956365585, 0.026257142424583435, 0.03055959939956665, 0.03682781383395195, 0.02263752743601799, 0.04609987139701843, 0.05388777703046799, 0.050639063119888306, 0.04115888103842735, 0.07579093426465988, 0.03990903124213219, 0.06480932980775833, 0.09630827605724335, 0.0025168894790112972, 0.005907465238124132, 0.004600829444825649, 0.0035378928296267986]","[0.16904963552951813, 0.09408758580684662, 0.19149529933929443, 0.054762858897447586, 0.0833798423409462, 0.04532107338309288, 0.12305008620023727, 0.04708218574523926, 0.07432374358177185, 0.02791241556406021, 0.15565882623195648, 0.07909249514341354, 0.12752945721149445, 0.14425517618656158, 0.007999751716852188, 0.014574164524674416, 0.014573268592357635, 0.011960581876337528]","[12.714091482146719, 1.859247240421633, 7.29307463252382, 1.792001857793468, 2.2640453956047057, 2.00203284175743, 2.669206712975683, 0.8737080714726668, 1.4677156132570999, 0.6781626433915979, 2.0537921552517098, 1.9818194699728806, 1.967763863471211, 1.4978481818200104, 3.178427890284125, 2.4670757993833448, 3.1675307174769434, 3.380707797641008]"
92,"[0.003965117037296295, 0.020903106778860092, 0.016070986166596413, 0.029100626707077026, 0.03407648950815201, 0.016762856394052505, 0.03075113706290722, 0.01349722035229206, 0.03958630934357643, 0.014901419170200825, 0.03402654454112053, 0.039447035640478134, 0.0698891207575798, 0.025912314653396606, 0.06087131053209305, 0.02420486882328987, 0.004959377460181713, 0.004308844916522503]","[0.009883414953947067, 0.12214620411396027, 0.3002608120441437, 0.08488524705171585, 0.15612198412418365, 0.028057312592864037, 0.07482421398162842, 0.031096991151571274, 0.10700513422489166, 0.049548663198947906, 0.06783874332904816, 0.06811786442995071, 0.1537993848323822, 0.13947449624538422, 0.17502641677856445, 0.2048279494047165, 0.023206690326333046, 0.017694523558020592]","[2.492590978017208, 5.843447359580549, 18.68340927753622, 2.916955978514115, 4.581516065110964, 1.6737787363506154, 2.4332177970707702, 2.303955210028891, 2.703084374352142, 3.3250969342593257, 1.993700631195922, 1.7268183356229772, 2.200619827023678, 5.382556445111004, 2.875351544900379, 8.462262320035029, 4.679355526506495, 4.1065584630744]"
93,"[0.010029967874288559, 0.01805686578154564, 0.03722773864865303, 0.030248019844293594, 0.01039977464824915, 0.019564049318432808, 0.04642195999622345, 0.01270162034779787, 0.029705863445997238, 0.1488858014345169, 0.12693142890930176, 0.07151848077774048, 0.05061410740017891, 0.03949490189552307, 0.0774170458316803, 0.0677151158452034, 0.012281869538128376, 0.005390998441725969]","[0.06454014033079147, 0.07676656544208527, 0.04917674884200096, 0.028250759467482567, 0.02865825779736042, 0.14363905787467957, 0.09463601559400558, 0.057560522109270096, 0.08741645514965057, 0.14364810287952423, 0.19318494200706482, 0.1530776023864746, 0.1963571161031723, 0.22523155808448792, 0.217477947473526, 0.2670390009880066, 0.15483395755290985, 0.01675267145037651]","[6.434730513568011, 4.251378194356505, 1.3209706156508723, 0.933970541308415, 2.7556614221621785, 7.341990174771542, 2.038604479468434, 4.531746386141165, 2.942734026518581, 0.9648206981154188, 1.5219630289130692, 2.1403922555653434, 3.8794938049718173, 5.702800798956256, 2.809173937563638, 3.9435655932193505, 12.606709188062656, 3.107526672742464]"
94,"[0.013191184028983116, 0.009181876666843891, 0.01927221566438675, 0.014026634395122528, 0.009498110972344875, 0.03233310580253601, 0.017291143536567688, 0.02178734354674816, 0.018449071794748306, 0.040464892983436584, 0.04427734389901161, 0.05707381293177605, 0.013989316299557686, 0.008955680765211582, 0.0033940542489290237, 0.0017218797001987696, 0.04735323041677475, 0.0192375760525465]","[0.04897565022110939, 0.03548090532422066, 0.014928107149899006, 0.023424576967954636, 0.02421402372419834, 0.13472822308540344, 0.04486044496297836, 0.027039533481001854, 0.18487338721752167, 0.17076537013053894, 0.3633906841278076, 0.3608190715312958, 0.06772791594266891, 0.06506382673978806, 0.02642187848687172, 0.14196529984474182, 0.1877141296863556, 0.37044447660446167]","[3.712756194857273, 3.8642324016770524, 0.7745921595037332, 1.6700069530649524, 2.5493515283934856, 4.166881582864711, 2.5944174755189855, 1.2410660998200307, 10.020741925355157, 4.220087031996798, 8.207147315716005, 6.321972424772211, 4.841402860039009, 7.2650899965672115, 7.784754323007361, 82.44786196640433, 3.964125108977959, 19.2562969260062]"
95,"[0.020401038229465485, 0.00714182760566473, 0.0032566115260124207, 0.016677265986800194, 0.05449649319052696, 0.03166601434350014, 0.015769897028803825, 0.029727689921855927, 0.04852680861949921, 0.04435625299811363, 0.06976079940795898, 0.08490074425935745, 0.03223493695259094, 0.05370727553963661, 0.11345304548740387, 0.12454765290021896, 0.004335504490882158, 0.0017942212289199233]","[0.1327834576368332, 0.15619178116321564, 0.09915726631879807, 0.2064790576696396, 0.1438978612422943, 0.3514760136604309, 0.11991330236196518, 0.1255093812942505, 0.09167679399251938, 0.052434246987104416, 0.10987009108066559, 0.10117335617542267, 0.040344417095184326, 0.06819868087768555, 0.3962417244911194, 0.46305856108665466, 0.023815669119358063, 0.010017755441367626]","[6.5086617721764926, 21.870001600056543, 30.447987279653166, 12.380869732069073, 2.6404976323744047, 11.099471182187978, 7.603936927612318, 4.221968865531507, 1.8891989108816338, 1.1821162393796951, 1.5749545878645788, 1.1916663046716662, 1.2515742517046111, 1.2698220155918, 3.49256137452134, 3.717922821537495, 5.493171364357695, 5.583344617652343]"
